Timestamp,WindSpeed_Hub_ms,WindDirection_deg,TurbulenceIntensity_pct,AirDensity_kgm3,AmbientTemp_C,FarmCapacity_kW,ActivePower_kW
01/01/2023 00:00,15.312,31.7,8.85,1.1655,29.72,2000.0,2059.44
01/01/2023 01:00,12.652,53.0,15.32,1.1899,23.49,2000.0,1989.22
01/01/2023 02:00,14.408,57.3,14.17,1.1847,24.82,2000.0,2055.36
01/01/2023 03:00,14.104,77.0,15.08,1.1825,25.36,2000.0,1963.09
01/01/2023 04:00,13.662,42.9,11.4,1.1728,27.82,2000.0,1920.62
01/01/2023 05:00,13.166,29.7,14.17,1.1486,34.17,2000.0,2039.56
01/01/2023 06:00,10.127,38.0,10.45,1.1977,21.57,2000.0,1231.29
01/01/2023 07:00,11.372,62.7,16.11,1.1401,36.46,2000.0,1649.65
01/01/2023 08:00,9.648,61.7,17.85,1.1692,28.75,2000.0,1084.4
01/01/2023 09:00,10.781,27.5,12.91,1.1962,21.95,2000.0,1476.25
01/01/2023 10:00,10.67,20.7,9.05,1.1705,28.42,2000.0,1382.42
01/01/2023 11:00,11.936,26.4,15.86,1.1758,27.07,2000.0,1994.33
01/01/2023 12:00,12.704,20.1,16.47,1.1608,30.93,2000.0,2039.94
01/01/2023 13:00,13.659,42.1,17.07,1.1669,29.36,2000.0,1946.45
01/01/2023 14:00,12.294,71.4,8.44,1.1348,37.91,2000.0,1945.79
01/01/2023 15:00,13.81,38.1,17.55,1.1651,29.81,2000.0,2041.84
01/01/2023 16:00,15.299,43.4,8.97,1.1587,31.5,2000.0,1970.0
01/01/2023 17:00,13.266,71.6,17.0,1.1643,30.02,2000.0,1916.86
01/01/2023 18:00,14.356,58.2,8.29,1.1941,22.46,2000.0,1959.52
01/01/2023 19:00,13.698,61.2,11.26,1.1807,25.81,2000.0,1999.01
01/01/2023 20:00,13.514,54.2,8.9,1.1668,29.39,2000.0,1988.61
01/01/2023 21:00,14.802,36.4,10.61,1.152,33.25,2000.0,2035.62
01/01/2023 22:00,14.5,35.4,17.0,1.1527,33.06,2000.0,2062.02
01/01/2023 23:00,14.744,73.3,9.8,1.1625,30.49,2000.0,2125.49
01/02/2023 00:00,13.792,27.4,9.76,1.1841,24.95,2000.0,2015.51
01/02/2023 01:00,15.114,31.8,13.52,1.1468,34.64,2000.0,1899.59
01/02/2023 02:00,12.715,35.3,17.49,1.1655,29.7,2000.0,2029.99
01/02/2023 03:00,12.038,34.0,13.22,1.1675,29.19,2000.0,1962.02
01/02/2023 04:00,11.822,72.0,8.35,1.1768,26.81,2000.0,1962.97
01/02/2023 05:00,9.723,76.5,8.29,1.1632,30.32,2000.0,1073.35
01/02/2023 06:00,10.536,42.1,11.09,1.173,27.77,2000.0,1358.58
01/02/2023 07:00,9.789,21.9,11.54,1.1629,30.4,2000.0,1082.39
01/02/2023 08:00,11.965,29.4,16.03,1.1656,29.69,2000.0,1968.99
01/02/2023 09:00,12.229,62.3,11.97,1.1701,28.52,2000.0,2012.69
01/02/2023 10:00,9.789,65.5,12.82,1.1715,28.17,2000.0,1097.65
01/02/2023 11:00,10.915,38.5,9.33,1.1783,26.43,2000.0,1542.24
01/02/2023 12:00,13.353,79.7,9.55,1.165,29.85,2000.0,1944.68
01/02/2023 13:00,14.201,46.8,12.06,1.1651,29.82,2000.0,2029.6
01/02/2023 14:00,13.994,46.2,15.01,1.1618,30.68,2000.0,2032.04
01/02/2023 15:00,15.212,64.0,8.63,1.1468,34.67,2000.0,2027.2
01/02/2023 16:00,13.608,30.6,11.51,1.1612,30.84,2000.0,1925.54
01/02/2023 17:00,14.085,71.2,10.12,1.1684,28.95,2000.0,2002.65
01/02/2023 18:00,15.746,53.6,8.64,1.1522,33.2,2000.0,1989.9
01/02/2023 19:00,12.957,35.2,11.08,1.1705,28.41,2000.0,2147.7
01/02/2023 20:00,16.202,73.8,11.49,1.167,29.33,2000.0,2041.92
01/02/2023 21:00,15.871,55.1,16.14,1.1499,33.82,2000.0,2023.27
01/02/2023 22:00,14.865,27.0,15.89,1.1527,33.09,2000.0,2035.87
01/02/2023 23:00,12.588,61.4,15.75,1.159,31.41,2000.0,1993.22
01/03/2023 00:00,14.517,23.6,14.68,1.1828,25.27,2000.0,1947.57
01/03/2023 01:00,14.206,38.0,15.79,1.1599,31.17,2000.0,1914.34
